Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:17:20 (+0000),41,46.16
2018/06/20-20:17:21 (+0000),41,45.622
2018/06/20-20:17:22 (+0000),41,46.16
2018/06/20-20:17:23 (+0000),41,46.16
2018/06/20-20:17:24 (+0000),41,46.16
2018/06/20-20:17:25 (+0000),41,46.698
2018/06/20-20:17:25 (+0000),41.062,46.16
2018/06/20-20:17:26 (+0000),41.062,46.16
2018/06/20-20:17:27 (+0000),41.062,46.698
2018/06/20-20:17:28 (+0000),41.062,46.16
2018/06/20-20:17:29 (+0000),41.062,46.16
2018/06/20-20:17:30 (+0000),41.125,46.16
2018/06/20-20:17:31 (+0000),41.125,46.16
2018/06/20-20:17:32 (+0000),41.125,46.16
2018/06/20-20:17:33 (+0000),41.062,46.16
2018/06/20-20:17:33 (+0000),40.937,46.16
2018/06/20-20:17:34 (+0000),40.812,46.16
2018/06/20-20:17:35 (+0000),40.687,46.16
2018/06/20-20:17:36 (+0000),40.562,46.698
2018/06/20-20:17:37 (+0000),40.437,46.16
2018/06/20-20:17:38 (+0000),40.312,46.698
2018/06/20-20:17:39 (+0000),40.25,45.622
2018/06/20-20:17:40 (+0000),40.125,46.16
2018/06/20-20:17:41 (+0000),40.062,46.16
2018/06/20-20:17:41 (+0000),40,46.16
2018/06/20-20:17:42 (+0000),39.937,46.16
2018/06/20-20:17:43 (+0000),39.875,46.16
2018/06/20-20:17:44 (+0000),39.812,46.16
2018/06/20-20:17:45 (+0000),39.812,46.16
2018/06/20-20:17:46 (+0000),39.75,46.698
2018/06/20-20:17:47 (+0000),39.687,46.698
2018/06/20-20:17:48 (+0000),39.625,46.16
2018/06/20-20:17:48 (+0000),39.562,46.16
2018/06/20-20:17:49 (+0000),39.562,46.16
2018/06/20-20:17:50 (+0000),39.5,46.698
2018/06/20-20:17:51 (+0000),39.437,46.16
2018/06/20-20:17:52 (+0000),39.437,46.16
2018/06/20-20:17:53 (+0000),39.375,46.16
2018/06/20-20:17:54 (+0000),39.375,46.16
2018/06/20-20:17:55 (+0000),39.312,46.698
2018/06/20-20:17:55 (+0000),39.312,46.16
2018/06/20-20:17:56 (+0000),39.25,47.236
2018/06/20-20:17:57 (+0000),39.25,46.698
2018/06/20-20:17:58 (+0000),39.187,46.16
2018/06/20-20:17:59 (+0000),39.187,46.16
2018/06/20-20:18:00 (+0000),39.187,46.16
2018/06/20-20:18:01 (+0000),39.125,46.698
2018/06/20-20:18:02 (+0000),39.125,46.16
2018/06/20-20:18:03 (+0000),39.062,46.698
2018/06/20-20:18:03 (+0000),39.062,46.698
2018/06/20-20:18:04 (+0000),39.062,46.16
2018/06/20-20:18:05 (+0000),39.062,46.16
2018/06/20-20:18:06 (+0000),39,46.16
2018/06/20-20:18:07 (+0000),39,46.16
2018/06/20-20:18:08 (+0000),38.937,46.698
2018/06/20-20:18:09 (+0000),38.937,46.16
2018/06/20-20:18:10 (+0000),38.937,46.16
2018/06/20-20:18:11 (+0000),38.937,47.236
2018/06/20-20:18:11 (+0000),38.875,46.698
2018/06/20-20:18:12 (+0000),38.875,47.236
2018/06/20-20:18:13 (+0000),38.875,47.236
2018/06/20-20:18:14 (+0000),38.875,46.698
2018/06/20-20:18:15 (+0000),38.812,46.698
2018/06/20-20:18:16 (+0000),38.812,46.698
